,dossier,img,date,espece,temperature,humidite,pression,luminosite
0,insect-1,insect-1_0.jpg,,Asterocampa clyton,19.36777019879089,53.04721873431964,1.0468766315137972,63.92459277211892
1,insect-2,insect-2_1.jpg,,Limenitis Limenitis arthemis astyanax,17.24339173504116,50.824333698030784,0.9761596050676742,63.86747569710694
2,insect-3,insect-3_1.jpg,,Asterocampa clyton,19.311406052310158,53.03668349552454,0.9722500047569567,62.794041319891534
3,insect-3,insect-3_2.jpg,,Anartia jatrophae,17.651423110912056,53.53156142712194,0.9510301822160617,62.44573236934849
4,insect-3,insect-3_3.jpg,,Asterocampa clyton,17.748670584449332,51.45357362416775,1.0011054508581692,62.62678872302729
5,insect-3,insect-3_4.jpg,,Asterocampa clyton,17.45893731491953,53.36399494940886,0.976717856457663,61.601730544794776
6,insect-3,insect-3_5.jpg,,Anartia jatrophae,16.15673888943831,53.97971251194002,1.016044179547392,63.11237823976849
7,insect-3,insect-3_6.jpg,,Asterocampa clyton,18.49794741704035,50.55903507400154,1.0300202217435332,60.852740989924065
8,insect-3,insect-3_7.jpg,,Asterocampa clyton,17.697380129151803,52.43454775944388,0.9692157181519476,61.45714183815188
9,insect-3,insect-3_8.jpg,,Asterocampa clyton,18.804086122818028,54.10163630627121,1.002739743422688,63.451749568122125
10,insect-12,insect-12_1.jpg,,Polygonia interrogationis,17.041229043807324,53.25376734589481,1.042012551198108,62.80437809483103
11,insect-12,insect-12_2.jpg,,Polygonia interrogationis,18.483528654317542,50.95292177387151,1.0421478654967453,60.588504768615145
12,insect-13,insect-13_1.jpg,,Cercyonis sthenele,16.635096215700287,50.82400302275368,1.0066892186049643,60.503240536481535
13,insect-13,insect-13_2.jpg,,Cercyonis sthenele,17.33709533372534,52.50837610348756,1.03919167683158,62.883709921413754
14,insect-13,insect-13_3.jpg,,Cercyonis sthenele,17.82736363569226,54.85417374683713,1.0469800214005214,62.764874289474584
15,insect-13,insect-13_4.jpg,,Cercyonis sthenele,18.624534478752942,54.2878499177011,0.9533765060706761,63.07118770982281
16,insect-13,insect-13_5.jpg,,Cercyonis sthenele,16.748694979948418,54.51012533366263,0.951765898629483,60.80838554978849
17,insect-13,insect-13_6.jpg,,Cercyonis sthenele,17.5413086880923,51.76027192059632,1.0431904161245864,64.42172786526767
18,insect-13,insect-13_7.jpg,,Cercyonis sthenele,19.307090818605303,52.01823917638264,0.9786239757734299,61.1841177488005
19,insect-13,insect-13_8.jpg,,Cercyonis sthenele,18.213104785465735,53.39423118658463,0.9926945370771781,60.528623701357425
20,insect-13,insect-13_9.jpg,,Cercyonis pegala,17.75484779238569,53.870999273817965,0.9565850647149975,60.7591263934996
21,insect-13,insect-13_10.jpg,,Cercyonis sthenele,16.859688468600552,50.14470519729888,0.9979620878055143,61.95467983464957
22,insect-13,insect-13_11.jpg,,Cercyonis sthenele,18.35747774726167,51.11314510459724,0.9811458481202988,63.12141712920108
23,insect-13,insect-13_12.jpg,,Cercyonis sthenele,16.378502388427997,52.37904511850392,0.9647336152076014,63.20415744480299
